Fiscal Year,Budget Type,Organization Entity,Command Name,Pillar Name,District Name,Unit Name,Feature_Category,Cost Element,Cost Element Long Name,Amount,ObjectId
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,4-Materials & Supplies,2020,Books & Magazines,500,559
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,4-Materials & Supplies,2080,Photo / Video supplies,1200,560
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,4-Materials & Supplies,2082,Health & Safety supplies,100,561
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,3-Benefits,1764,CPP - Uniform,152000,562
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,4-Materials & Supplies,2083,Fingerprint supplies,1000,563
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,4-Materials & Supplies,2082,Health & Safety supplies,200,564
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,3-Benefits,1765,CPP - Civilian,28000,565
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,4-Materials & Supplies,2999,Miscellaneous materials,700,566
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4083,P.E.U. - towing charges,200,567
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4084,Public relations / promotions,2400,568
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4086,Translations / interpreters,700,569
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4140,Prisoners' meals,3000,570
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4225,Business travel - public transit,100,571
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4255,Conferences / seminars,2800,572
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4312,Courses / seminars,2400,573
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4441,Contracted services - Cable TV,2100,574
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4770,Parking expenses,200,575
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4815,Courier services,100,576
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 13, 53",Division 53,6-Services,4970,Services & rents - general,100,577
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,376400,578
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1504,Regular salaries - Uniform,23271700,579
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1505,Regular salaries - Civilian A,302900,580
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1507,Regular salaries - Civilian C,1659800,581
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1533,Alternate rate - Uniform,19400,582
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1534,Alternate rate - Civilian A,2800,583
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1536,Alternate rate - Civilian C,1200,584
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1551,Shift Bonus - Uniform,78000,585
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1552,Shift Bonus - Civilian A,100,586
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,1-Salaries,1554,Shift Bonus - Civilian C,13100,587
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,2-Premium Pay,1582,Overtime premium pay - Civilian,1000,588
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,2-Premium Pay,1584,Lieutime premium pay - Civilian,4000,589
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,3-Benefits,1744,EI - Uniform,275600,590
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,3-Benefits,1746,EI - Civilian,31200,591
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,3-Benefits,1764,CPP - Uniform,848000,592
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,3-Benefits,1765,CPP - Civilian,96000,593
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,3-Benefits,1773,OMERS - Uniform,2786500,594
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,3-Benefits,1776,OMERS - Civilian,195500,595
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,4-Materials & Supplies,2010,Stationery and office supplies,29700,596
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,4-Materials & Supplies,2080,Photo / Video supplies,1600,597
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,4-Materials & Supplies,2082,Health & Safety supplies,200,598
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,4-Materials & Supplies,2083,Fingerprint supplies,1100,599
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,4-Materials & Supplies,2999,Miscellaneous materials,400,600
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4083,P.E.U. - towing charges,400,601
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4084,Public relations / promotions,1600,602
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4086,Translations / interpreters,1300,603
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4140,Prisoners' meals,20000,604
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4225,Business travel - public transit,100,605
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4230,Business travel - other expenses,1000,606
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4255,Conferences / seminars,3600,607
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4815,Courier services,200,608
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4312,Courses / seminars,1200,609
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4441,Contracted services - Cable TV,800,610
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4516,Repairs - technical equipment,200,611
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4770,Parking expenses,100,612
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4815,Courier services,100,613
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 32, 33",Division 32,6-Services,4970,Services & rents - general,100,614
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,2-Premium Pay,1584,Lieutime premium pay - Civilian,4900,615
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,4-Materials & Supplies,2083,Fingerprint supplies,1000,616
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,3-Benefits,1744,EI - Uniform,262600,617
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4970,Services & rents - general,300,618
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,4-Materials & Supplies,2999,Miscellaneous materials,700,619
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,3-Benefits,1746,EI - Civilian,31200,620
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,3-Benefits,1764,CPP - Uniform,808000,621
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,371400,622
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,3-Benefits,1773,OMERS - Uniform,576900,623
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4083,P.E.U. - towing charges,200,624
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,3-Benefits,1765,CPP - Civilian,96000,625
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1504,Regular salaries - Uniform,25237200,626
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,3-Benefits,1776,OMERS - Civilian,42700,627
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4084,Public relations / promotions,2400,628
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,3-Benefits,1773,OMERS - Uniform,2544700,629
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1505,Regular salaries - Civilian A,362000,630
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,4-Materials & Supplies,2010,Stationery and office supplies,23000,631
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4086,Translations / interpreters,1000,632
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,3-Benefits,1776,OMERS - Civilian,210200,633
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1507,Regular salaries - Civilian C,1883200,634
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,4-Materials & Supplies,2020,Books & Magazines,200,635
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4140,Prisoners' meals,700,636
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,4-Materials & Supplies,2010,Stationery and office supplies,30500,637
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1532,Alternate rate - Uniform Sr. Officer,400,638
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,4-Materials & Supplies,2020,Books & Magazines,300,639
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,4-Materials & Supplies,2082,Health & Safety supplies,300,640
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4230,Business travel - other expenses,300,641
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1533,Alternate rate - Uniform,28500,642
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,4-Materials & Supplies,2670,Uniforms,2000,643
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4255,Conferences / seminars,1000,644
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,4-Materials & Supplies,2080,Photo / Video supplies,1500,645
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1534,Alternate rate - Civilian A,3500,646
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,4-Materials & Supplies,2999,Miscellaneous materials,900,647
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4312,Courses / seminars,2800,648
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,4-Materials & Supplies,2082,Health & Safety supplies,500,649
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1541,Statutory Holiday - Uniform,53100,650
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,6-Services,4084,Public relations / promotions,25900,651
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4441,Contracted services - Cable TV,1000,652
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,4-Materials & Supplies,2083,Fingerprint supplies,1000,653
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1551,Shift Bonus - Uniform,80700,654
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,6-Services,4206,Business travel - mileage,140900,655
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4516,Repairs - technical equipment,500,656
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,4-Materials & Supplies,2999,Miscellaneous materials,2900,657
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,1-Salaries,1554,Shift Bonus - Civilian C,11300,658
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,6-Services,4225,Business travel - public transit,400,659
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4608,Clean/repair furniture,200,660
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4084,Public relations / promotions,900,661
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4086,Translations / interpreters,1800,662
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4140,Prisoners' meals,4000,663
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4225,Business travel - public transit,400,664
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4255,Conferences / seminars,800,665
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4312,Courses / seminars,1400,666
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4441,Contracted services - Cable TV,1500,667
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4516,Repairs - technical equipment,900,668
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4770,Parking expenses,100,669
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4815,Courier services,100,670
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,District 41,Division 41,6-Services,4970,Services & rents - general,100,671
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,371400,672
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1504,Regular salaries - Uniform,31081900,673
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1505,Regular salaries - Civilian A,348700,674
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1507,Regular salaries - Civilian C,1025100,675
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1532,Alternate rate - Uniform Sr. Officer,1000,676
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1533,Alternate rate - Uniform,25600,677
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1534,Alternate rate - Civilian A,1300,678
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1536,Alternate rate - Civilian C,2700,679
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1551,Shift Bonus - Uniform,103300,680
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,1-Salaries,1554,Shift Bonus - Civilian C,10300,681
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,2-Premium Pay,1582,Overtime premium pay - Civilian,1000,682
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,2-Premium Pay,1583,Callback premium pay - Civilian,1000,683
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,2-Premium Pay,1584,Lieutime premium pay - Civilian,11100,684
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,3-Benefits,1744,EI - Uniform,375700,685
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,3-Benefits,1746,EI - Civilian,23500,686
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,3-Benefits,1764,CPP - Uniform,1156000,687
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,3-Benefits,1765,CPP - Civilian,72000,688
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,3-Benefits,1773,OMERS - Uniform,3675300,689
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,3-Benefits,1776,OMERS - Civilian,132200,690
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,4-Materials & Supplies,2010,Stationery and office supplies,42300,691
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,4-Materials & Supplies,2020,Books & Magazines,600,692
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,4-Materials & Supplies,2080,Photo / Video supplies,2200,693
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,4-Materials & Supplies,2082,Health & Safety supplies,500,694
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,4-Materials & Supplies,2083,Fingerprint supplies,500,695
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,4-Materials & Supplies,2999,Miscellaneous materials,500,696
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,"District 54, 55",Division 55,6-Services,4083,P.E.U. - towing charges,600,697
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1505,Regular salaries - Civilian A,2236500,698
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,2-Premium Pay,1582,Overtime premium pay - Civilian,900,699
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1507,Regular salaries - Civilian C,29540400,700
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4770,Parking expenses,200,701
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,6-Services,4230,Business travel - other expenses,1300,702
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 42,6-Services,4813,Internet,1100,703
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,2-Premium Pay,1583,Callback premium pay - Civilian,600,704
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,6-Services,4255,Conferences / seminars,17200,705
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1533,Alternate rate - Uniform,2400,706
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,East Field Command,not_used,Division 43,2-Premium Pay,1584,Lieutime premium pay - Civilian,4800,707
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,Community Partners&Engagement,Community Partnerships & Engagement Unit,6-Services,4312,Courses / seminars,3700,708
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1534,Alternate rate - Civilian A,11300,709
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1536,Alternate rate - Civilian C,59800,710
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1545,Statutory Holiday - Other,200,711
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1551,Shift Bonus - Uniform,10400,712
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1552,Shift Bonus - Civilian A,2300,713
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,1-Salaries,1554,Shift Bonus - Civilian C,189800,714
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,2-Premium Pay,1581,Court premium pay - Civilian,300,715
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,2-Premium Pay,1582,Overtime premium pay - Civilian,102900,716
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,2-Premium Pay,1583,Callback premium pay - Civilian,334200,717
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,2-Premium Pay,1584,Lieutime premium pay - Civilian,135000,718
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,3-Benefits,1744,EI - Uniform,67600,719
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,3-Benefits,1746,EI - Civilian,463000,720
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,3-Benefits,1764,CPP - Uniform,208000,721
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,3-Benefits,1765,CPP - Civilian,1424100,722
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,3-Benefits,1773,OMERS - Uniform,754500,723
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,3-Benefits,1776,OMERS - Civilian,3311400,724
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,4-Materials & Supplies,2010,Stationery and office supplies,32800,725
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,4-Materials & Supplies,2082,Health & Safety supplies,10000,726
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,4-Materials & Supplies,2183,Parts - communication,23800,727
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,4-Materials & Supplies,2999,Miscellaneous materials,100,728
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4084,Public relations / promotions,5600,729
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4086,Translations / interpreters,113200,730
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4230,Business travel - other expenses,10500,731
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4255,Conferences / seminars,27600,732
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4312,Courses / seminars,6600,733
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4441,Contracted services - Cable TV,1000,734
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4608,Clean/repair furniture,2000,735
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4659,Maintenance - computer,1500,736
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4760,Membership fees,1100,737
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4770,Parking expenses,100,738
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,6-Services,4815,Courier services,200,739
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Communication Services,7-Revenues,8557,Recoveries - Communication salaries,-1018700,740
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Field Services,1-Salaries,1502,Regular salaries - Civilian Sr. Officer,92100,741
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Field Services,1-Salaries,1503,Regular salaries - Uniform Sr. Officer,376400,742
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Field Services,1-Salaries,1504,Regular salaries - Uniform,282900,743
2024,Proposed Budget,1 - Toronto Police Service,Community Safety Command,Field Services,not_used,Field Services,3-Benefits,1744,EI - Uniform,5200,744
